w,8145681.734135275,8145681.734649899,0.000514624
w,8145681.760319861,8145681.760822684,0.000502823
w,8145681.734014156,8145681.784413776,0.050399620
w,8145681.760239096,8145681.784563880,0.024324784
r,8145681.812657787,8145681.812904636,0.000246849
w,8145681.852061729,8145681.861911910,0.009850181
w,8145681.851979263,8145681.867004553,0.015025290
w,8145682.264858096,8145682.265363606,0.000505510
w,8145682.264943712,8145682.265450464,0.000506752
w,8145682.284516539,8145682.284930943,0.000414404
w,8145682.284588340,8145682.285022936,0.000434596
r,8145682.336946079,8145682.339713038,0.002766959
w,8145682.382821232,8145682.383361713,0.000540481
w,8145682.382895197,8145682.383411186,0.000515989
w,8145682.644966686,8145682.645504203,0.000537517
w,8145682.645064289,8145682.645508871,0.000444582
w,8145682.664624669,8145682.665057830,0.000433161
w,8145682.664695300,8145682.665128871,0.000433571
r,8145682.717052558,8145682.717345067,0.000292509
w,8145682.762995274,8145682.763409595,0.000414321
w,8145682.762929560,8145682.763491469,0.000561909
w,8145683.064397105,8145683.064831384,0.000434279
w,8145683.064468765,8145683.064885815,0.000417050
w,8145683.077501317,8145683.077891369,0.000390052
w,8145683.077570271,8145683.077990646,0.000420375
r,8145683.129932773,8145683.130415583,0.000482810
w,8145683.175807521,8145683.176253004,0.000445483
w,8145683.175878414,8145683.176348083,0.000469669
w,8145683.457615066,8145683.458153981,0.000538915
w,8145683.457704991,8145683.458158204,0.000453213
w,8145683.470718160,8145683.471212383,0.000494223
w,8145683.470795348,8145683.471300933,0.000505585
w,8145683.503486199,8145683.503983506,0.000497307
w,8145683.503552439,8145683.504088761,0.000536322
w,8145683.503630886,8145683.504092811,0.000461925
r,8145683.536254957,8145683.536563250,0.000308293
w,8145683.542805924,8145683.543231131,0.000425207
w,8145683.542875676,8145683.543387091,0.000511415
w,8145683.542936827,8145683.543450396,0.000513569
w,8145683.575579296,8145683.576032517,0.000453221
w,8145683.575678812,8145683.576117669,0.000438857
w,8145683.621591037,8145683.622564890,0.000973853
w,8145683.621449210,8145683.635180165,0.013730955
w,8145683.621527121,8145683.637237027,0.015709906
w,8145683.673881336,8145683.674321930,0.000440594
w,8145683.673955011,8145683.674521967,0.000566956
w,8145683.680571546,8145683.681182568,0.000611022
w,8145683.680431623,8145683.681192385,0.000760762
w,8145683.680698322,8145683.681207961,0.000509639
w,8145683.680502582,8145683.681304790,0.000802208
w,8145683.680765111,8145683.681307948,0.000542837
w,8145683.680635422,8145683.681310801,0.000675379
w,8145683.680899999,8145683.681377186,0.000477187
w,8145683.681096722,8145683.681822817,0.000726095
w,8145683.680836477,8145683.681829996,0.000993519
w,8145683.680972642,8145683.681930211,0.000957569
w,8145683.681041402,8145683.682229578,0.001188176
w,8145683.804952690,8145683.805419840,0.000467150
w,8145683.850827062,8145683.851374640,0.000547578
w,8145683.850908619,8145683.851396808,0.000488189
w,8145683.850979688,8145683.851483801,0.000504113
w,8145683.909810492,8145683.910807941,0.000997449
w,8145683.909876206,8145683.910934202,0.001057996
r,8145683.949128618,8145683.949373199,0.000244581
w,8145683.955683539,8145683.956138771,0.000455232
w,8145683.955752965,8145683.956169282,0.000416317
w,8145683.968858888,8145683.969252476,0.000393588
w,8145683.968791621,8145683.969295273,0.000503652
w,8145683.968930608,8145683.969824514,0.000893906
w,8145684.001559174,8145684.001951445,0.000392271
w,8145684.001594923,8145684.001974817,0.000379894
r,8145684.053990254,8145684.054258911,0.000268657
w,8145684.060540229,8145684.061053692,0.000513463
w,8145684.067093598,8145684.067497040,0.000403442
w,8145684.080253070,8145684.080674930,0.000421860
w,8145684.080200705,8145684.080745003,0.000544298
w,8145684.080229949,8145684.080901087,0.000671138
w,8145684.080280787,8145684.081337399,0.001056612
w,8145684.099862887,8145684.100227690,0.000364803
w,8145684.099893032,8145684.100272053,0.000379021
w,8145684.132632341,8145684.132986227,0.000353886
w,8145684.132665865,8145684.133071546,0.000405681
w,8145684.512745714,8145684.513171584,0.000425870
w,8145684.512817795,8145684.513223766,0.000405971
w,8145684.539011469,8145684.539445005,0.000433536
w,8145684.538954534,8145684.539449924,0.000495390
r,8145684.578276141,8145684.578540665,0.000264524
w,8145684.617632190,8145684.618015332,0.000383142
w,8145684.617598929,8145684.627971969,0.010373040
r,8145684.958463532,8145684.958853415,0.000389883
w,8145684.958432637,8145684.958860395,0.000427758
w,8145684.958389089,8145684.958862844,0.000473755
w,8145684.978045835,8145684.978427463,0.000381628
w,8145684.978081308,8145684.978463319,0.000382011
r,8145685.023921139,8145685.024167882,0.000246743
w,8145685.063276089,8145685.063790590,0.000514501
